Ticker,Security,GICS Sector,GICS Sub Industry,Address of Headquarters,Date first added,CIK
HRB,Block H&R,Financials,Consumer Finance,"Kansas City, Missouri",11/30/1986,12659
BA,Boeing Company,Industrials,Aerospace & Defense,"Chicago, Illinois",,12927
BWA,BorgWarner,Consumer Discretionary,Auto Parts & Equipment,"Auburn Hills, Michigan",12/16/2011,908255
BXP,Boston Properties,Financials,REITs,"Boston, Massachusetts",,1037540
BSX,Boston Scientific,Health Care,Health Care Equipment & Services,"Marlborough, Massachusetts[2]",,885725
BMY,Bristol-Myers Squibb,Health Care,Health Care Distributors & Services,"New York, New York",,14272
BRCM,Broadcom Corporation,Information Technology,Semiconductors,"Irvine, California",,1054374
BF.B,Brown-Forman Corporation,Consumer Staples,Distillers & Vintners,"Louisville, Kentucky",10/31/1982,14693
CHRW,C. H. Robinson Worldwide,Industrials,Air Freight & Logistics,"Eden Prairie, Minnesota",,1043277
CA,"CA, Inc.",Information Technology,Systems Software,"Islandia, New York",7/31/1987,356028
CVC,Cablevision Systems Corp.,Consumer Discretionary,Broadcasting & Cable TV,"Bethpage, New York",,1053112
COG,Cabot Oil & Gas,Energy,Oil & Gas Exploration & Production,"Houston, Texas",,858470
CAM,Cameron International Corp.,Energy,Oil & Gas Equipment & Services,"Houston, Texas",,941548
CPB,Campbell Soup,Consumer Staples,Packaged Foods & Meats,"Camden, New Jersey",,16732
COF,Capital One Financial,Financials,Consumer Finance,"Tysons Corner, Virginia",,927628
CAH,Cardinal Health Inc.,Health Care,Health Care Distributors & Services,"Dublin, Ohio",,721371
CFN,Carefusion,Health Care,Health Care Equipment & Services,"San Diego, California[3]",,1457543
KMX,Carmax Inc,Consumer Discretionary,Specialty Stores,"Richmond, Virginia",,1170010
CCL,Carnival Corp.,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Miami, Florida",,815097
CAT,Caterpillar Inc.,Industrials,Construction & Farm Machinery & Heavy Trucks,"Peoria, Illinois",,18230
CBG,CBRE Group,Financials,Real Estate Management & Development,"Los Angeles, California",,1138118
CBS,CBS Corp.,Consumer Discretionary,Broadcasting & Cable TV,"New York, New York",9/1/1994,813828
CELG,Celgene Corp.,Health Care,Biotechnology,"Summit, New Jersey",,816284
CNP,CenterPoint Energy,Utilities,Multi-Utilities & Unregulated Power,"Houston, Texas",7/31/1985,1130310
CTL,CenturyLink Inc,Telecommunications Services,Integrated Telecommunications Services,"Monroe, Louisiana",,18926
CERN,Cerner,Health Care,Health Care Distributors & Services,"North Kansas City, Missouri",,804753
CF,CF Industries Holdings Inc,Materials,Fertilizers & Agricultural Chemicals,"Deerfield, Illinois",,1324404
SCHW,Charles Schwab Corporation,Financials,Diversified Financial Services,"San Francisco, California",,316709
CHK,Chesapeake Energy,Energy,Integrated Oil & Gas,"Oklahoma City, Oklahoma",,895126
CVX,Chevron Corp.,Energy,Integrated Oil & Gas,"San Ramon, California",,93410
CMG,Chipotle Mexican Grill,Consumer Discretionary,Restaurants,"Denver, Colorado",,1058090
CB,Chubb Corp.,Financials,Property & Casualty Insurance,"Warren, New Jersey",6/30/1976,20171
CI,CIGNA Corp.,Health Care,Managed Health Care,"Philadelphia, Pennsylvania",6/30/1976,701221
XEC,Cimarex Energy,Energy,Oil & Gas Exploration & Production,"Denver, Colorado",6/21/2014,1168054
CINF,Cincinnati Financial,Financials,Property & Casualty Insurance,"Fairfield, Ohio",,20286
CTAS,Cintas Corporation,Industrials,Diversified Commercial Services,"Mason, Ohio",,723254
CSCO,Cisco Systems,Information Technology,Networking Equipment,"San Jose, California",12/1/1993,858877
C,Citigroup Inc.,Financials,Banks,"New York, New York",5/31/1988,831001
CTXS,Citrix Systems,Information Technology,Internet Software & Services,"Fort Lauderdale, Florida",,877890
CLX,The Clorox Company,Consumer Staples,Household Products,"Oakland, California",3/31/1969,21076
CME,CME Group Inc.,Financials,Diversified Financial Services,"Chicago, Illinois",,1156375
CMS,CMS Energy,Utilities,Multi-Utilities & Unregulated Power,"Jackson, Michigan",,811156
COH,Coach Inc.,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York, New York",,1116132
KO,The Coca Cola Company,Consumer Staples,Soft Drinks,"Atlanta, Georgia",,21344
CCE,Coca-Cola Enterprises,Consumer Staples,Soft Drinks,"Atlanta, Georgia",,1491675
CTSH,Cognizant Technology Solutions,Information Technology,IT Consulting & Services,"Teaneck, New Jersey",,1058290
CL,Colgate-Palmolive,Consumer Staples,Household Products,"New York, New York",,21665
CMCSA,Comcast Corp.,Consumer Discretionary,Broadcasting & Cable TV,"Philadelphia, Pennsylvania",,1166691
CMA,Comerica Inc.,Financials,Banks,"Dallas, Texas",,28412
CSC,Computer Sciences Corp.,Information Technology,IT Consulting & Services,"Falls Church, Virginia",6/30/1981,23082
CAG,ConAgra Foods Inc.,Consumer Staples,Packaged Foods & Meats,"Omaha, Nebraska",8/31/1983,23217
COP,ConocoPhillips,Energy,Oil & Gas Exploration & Production,"Houston, Texas",,1163165
CNX,CONSOL Energy Inc.,Energy,Coal & Consumable Fuels,"Cecil Township, Pennsylvania",,1070412
ED,Consolidated Edison,Utilities,Multi-Utilities & Unregulated Power,"New York, New York",,1047862
STZ,Constellation Brands,Consumer Staples,Distillers & Vintners,"Victor, New York",,16918
GLW,Corning Inc.,Industrials,Construction & Engineering,"Corning, New York",,24741
COST,Costco Co.,Consumer Staples,Hypermarkets & Super Centers,"Issaquah, Washington",10/1/1993,909832
COV,Covidien plc,Health Care,Health Care Equipment & Services,"Dublin, Ireland",,1385187
CCI,Crown Castle International Corp.,Financials,REITs,"Houston, Texas",,1051470
CSX,CSX Corp.,Industrials,Railroads,"Jacksonville, Florida",9/30/1967,277948
CMI,Cummins Inc.,Industrials,Industrial Machinery,"Columbus, Indiana",3/31/1965,26172
CVS,CVS Caremark Corp.,Consumer Staples,Drug Retail,"Woonsocket, Rhode Island",,64803
DHI,D. R. Horton,Consumer Discretionary,Construction,"Fort Worth, Texas",,882184
DHR,Danaher Corp.,Industrials,Industrial Machinery,Washington D.C,,313616
DRI,Darden Restaurants,Consumer Discretionary,Restaurants,"Orlando, Florida",,940944
DVA,DaVita Inc.,Health Care,Health Care Facilities,"Denver, Colorado",,927066
DE,Deere & Co.,Industrials,Construction & Farm Machinery & Heavy Trucks,"Moline, Illinois",,315189
DLPH,Delphi Automotive,Consumer Discretionary,Auto Parts & Equipment,"Gillingham, Kent, United Kingdom",12/24/2012,1521332
DAL,Delta Air Lines,Industrials,Airlines,"Atlanta, Georgia",9/10/2013,27904
DNR,Denbury Resources Inc.,Energy,Oil & Gas Exploration & Production,"Plano, Texas",,945764
XRAY,Dentsply International,Health Care,Health Care Supplies,"York, Pennsylvania",,818479
DVN,Devon Energy Corp.,Energy,Oil & Gas Exploration & Production,"Oklahoma City, Oklahoma",,1090012
DO,Diamond Offshore Drilling,Energy,Oil & Gas Drilling,"Houston, Texas",,949039
DTV,DirecTV,Consumer Discretionary,Broadcasting & Cable TV,"El Segundo, California",,1465112
DFS,Discover Financial Services,Financials,Consumer Finance,"Riverwoods, Illinois",,1393612
DISCA,Discovery Communications-A,Consumer Discretionary,Broadcasting & Cable TV,"Silver Spring, Maryland",,1437107
DISCK,Discovery Communications-C,Consumer Discretionary,Broadcasting & Cable TV,"Silver Spring, Maryland",8/6/2014,1437107
DG,Dollar General,Consumer Discretionary,General Merchandise Stores,"Goodlettsville, Tennessee",12/3/2012,29534
DLTR,Dollar Tree,Consumer Discretionary,General Merchandise Stores,"Chesapeake, Virginia",12/16/2011,935703
D,Dominion Resources,Utilities,Multi-Utilities & Unregulated Power,"Richmond, Virginia",,715957
DOV,Dover Corp.,Industrials,Industrial Machinery,"Downers Grove, Illinois",10/31/1985,29905
DOW,Dow Chemical,Materials,Diversified Chemicals,"Midland, Michigan",,29915
DPS,Dr Pepper Snapple Group,Consumer Staples,Soft Drinks,"Plano, Texas",,1418135
DTE,DTE Energy Co.,Utilities,Multi-Utilities & Unregulated Power,"Detroit, Michigan",,936340
DD,Du Pont (E.I.),Materials,Diversified Chemicals,"Wilmington, Delaware",,30554
DUK,Duke Energy,Utilities,Electric Utilities,"Charlotte, North Carolina",6/30/1976,1326160
DNB,Dun & Bradstreet,Industrials,Data Processing Services,"Short Hills, New Jersey",,1115222
ETFC,E-Trade,Financials,Diversified Financial Services,"New York, New York",,1015780
EMN,Eastman Chemical,Materials,Diversified Chemicals,"Kingsport, Tennessee",1/1/1994,915389
ETN,Eaton Corporation,Industrials,Industrial Conglomerates,"Dublin, Ireland",,1551182
EBAY,eBay Inc.,Information Technology,Internet Software & Services,"San Jose, California",,1065088
ECL,Ecolab Inc.,Materials,Specialty Chemicals,"St. Paul, Minnesota",1/31/1989,31462
EIX,Edison Int'l,Utilities,Multi-Utilities & Unregulated Power,"Rosemead, California",,827052
EW,Edwards Lifesciences,Health Care,Health Care Equipment & Services,"Irvine, California",,1099800
EA,Electronic Arts,Information Technology,Application Software,"Redwood City, California",,712515
EMC,EMC Corp.,Information Technology,IT Consulting & Services,"Hopkinton, Massachusetts",,790070
EMR,Emerson Electric,Industrials,Industrial Conglomerates,"Ferguson, Missouri",3/31/1965,32604
ESV,Ensco plc,Energy,Oil & Gas Drilling,"London, United Kingdom",7/30/2012,314808
ETR,Entergy Corp.,Utilities,Electric Utilities,"New Orleans, Louisiana",,65984
EOG,EOG Resources,Energy,Oil & Gas Exploration & Production,"Houston, Texas",,821189
EQT,EQT Corporation,Energy,Oil & Gas Exploration & Production,"Pittsburgh, Pennsylvania",,33213
EFX,Equifax Inc.,Financials,Diversified Financial Services,"Atlanta, Georgia",,33185
EQR,Equity Residential,Financials,REITs,"Chicago, Illinois",,906107
ESS,Essex Property Trust Inc,Financials,Residential REITs,"Palo Alto, California",,920522
EL,Estee Lauder Cos.,Consumer Staples,Personal Products,"New York, New York",,1001250
EXC,Exelon Corp.,Utilities,Multi-Utilities & Unregulated Power,"Chicago, Illinois",,1109357
EXPE,Expedia Inc.,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Bellevue, Washington",,1324424
EXPD,Expeditors Int'l,Industrials,Air Freight & Logistics,"Seattle, Washington",,746515
ESRX,Express Scripts,Health Care,Health Care Distributors & Services,"Cool Valley, Missouri",,1532063
XOM,Exxon Mobil Corp.,Energy,Integrated Oil & Gas,"Irving, Texas",,34088
FFIV,F5 Networks,Information Technology,Networking Equipment,"Seattle, Washington",,1048695
FB,Facebook,Information Technology,Internet Software & Services,"Menlo Park, California",,1326801
FDO,Family Dollar Stores,Consumer Discretionary,General Merchandise Stores,"Matthews, North Carolina",,34408
FAST,Fastenal Co,Industrials,Building Products,"Winona, Minnesota",,815556
FDX,FedEx Corporation,Industrials,Air Freight & Logistics,"Memphis, Tennessee",12/31/1980,1048911
FIS,Fidelity National Information Services,Information Technology,Internet Software & Services,"Jacksonville, Florida",,1136893
FITB,Fifth Third Bancorp,Financials,Banks,"Cincinnati, Ohio",,35527
FSLR,First Solar Inc,Energy,Heavy Electrical Equipment,"Tempe, Arizona",,1274494
FE,FirstEnergy Corp,Utilities,Multi-Utilities & Unregulated Power,"Akron, Ohio",,1031296
FISV,Fiserv Inc,Information Technology,Internet Software & Services,"Brookfield, Wisconsin",,798354
FLIR,FLIR Systems,Industrials,Aerospace & Defense,"Wilsonville, Oregon",,354908
FLS,Flowserve Corporation,Industrials,Industrial Machinery,"Irving, Texas",,30625
FLR,Fluor Corp.,Industrials,Diversified Commercial Services,"Irving, Texas",3/31/1980,1124198
FMC,FMC Corporation,Materials,Diversified Chemicals,"Philadelphia, Pennsylvania",,37785
FTI,FMC Technologies Inc.,Energy,Oil & Gas Equipment & Services,"Houston, Texas",,1135152
F,Ford Motor,Consumer Discretionary,Automobile Manufacturers,"Dearborn, Michigan",,37996
FOSL,"Fossil, Inc.",Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Richardson, Texas",,883569
BEN,Franklin Resources,Financials,Diversified Financial Services,"San Mateo, California",,38777
FCX,Freeport-McMoran Cp & Gld,Materials,Diversified Metals & Mining,"Phoenix, Arizona",,831259
FTR,Frontier Communications,Telecommunications Services,Integrated Telecommunications Services,"Stamford, Connecticut",,20520
GME,GameStop Corp.,Consumer Discretionary,Specialty Stores,"Grapevine, Texas",,1326380
GCI,Gannett Co.,Consumer Discretionary,Publishing,"McLean, Virginia",12/31/1975,39899
GPS,Gap (The),Consumer Discretionary,Apparel Retail,"San Francisco, California",8/31/1986,39911
GRMN,Garmin Ltd.,Consumer Discretionary,Consumer Electronics,"Schaffhausen, Switzerland",12/12/2012,1121788
GD,General Dynamics,Industrials,Aerospace & Defense,"Falls Church, Virginia",,40533
GE,General Electric,Industrials,Industrial Conglomerates,"Fairfield, Connecticut",,40545
GGP,General Growth Properties Inc.,Financials,REITs,"Chicago, Illinois",12/10/2013,895648
GIS,General Mills,Consumer Staples,Packaged Foods & Meats,"Golden Valley, Minnesota",3/31/1969,40704
GM,General Motors,Consumer Discretionary,Automobile Manufacturers,"Detroit, Michigan",6/6/2013,1467858
GPC,Genuine Parts,Consumer Discretionary,Specialty Stores,"Atlanta, Georgia",12/31/1973,40987
GNW,Genworth Financial Inc.,Financials,Life & Health Insurance,"Richmond, Virginia",,1276520
GILD,Gilead Sciences,Health Care,Biotechnology,"Foster City, California",,882095
GS,Goldman Sachs Group,Financials,Diversified Financial Services,"New York, New York",,886982
GT,Goodyear Tire & Rubber,Consumer Discretionary,Tires & Rubber,"Akron, Ohio",,42582
GOOGL,Google Inc Class A,Information Technology,Internet Software & Services,"Mountain View, California",,1288776
GOOG,Google Inc Class C,Information Technology,Internet Software & Services,"Mountain View, California",,1288776
GWW,Grainger (W.W.) Inc.,Industrials,Industrial Materials,"Lake Forest, Illinois",6/30/1981,277135
HAL,Halliburton Co.,Energy,Oil & Gas Equipment & Services,"Houston, Texas",,45012
HOG,Harley-Davidson,Consumer Discretionary,Motorcycle Manufacturers,"Milwaukee, Wisconsin",,793952
HAR,Harman Int'l Industries,Consumer Discretionary,Consumer Electronics,"Stamford, Connecticut",,800459
HRS,Harris Corporation,Information Technology,Telecommunications Equipment,"Melbourne, Florida",,202058
HIG,Hartford Financial Svc.Gp.,Financials,Property & Casualty Insurance,"Hartford, Connecticut",,874766
HAS,Hasbro Inc.,Consumer Discretionary,Leisure Products,"Pawtucket, Rhode Island",9/30/1984,46080
HCP,HCP Inc.,Financials,REITs,"Long Beach, California",,765880
HCN,"Health Care REIT, Inc.",Financials,REITs,"Toledo, Ohio[4]",,766704
HP,Helmerich & Payne,Energy,Oil & Gas Drilling,"Tulsa, Oklahoma[5]",,46765
HES,Hess Corporation,Energy,Integrated Oil & Gas,"New York, New York",5/31/1984,4447
HPQ,Hewlett-Packard,Information Technology,Computer Hardware,"Palo Alto, California",12/31/1974,47217
HD,Home Depot,Consumer Discretionary,Home Improvement Retail,"Cobb County, Georgia",3/31/1988,354950
HON,Honeywell Int'l Inc.,Industrials,Industrial Conglomerates,"Morristown, New Jersey",,773840
HRL,Hormel Foods Corp.,Consumer Staples,Packaged Foods & Meats,"Austin, Minnesota",,48465
HSP,Hospira Inc.,Health Care,Health Care Equipment & Services,"Lake Forest, Illinois",,1274057
HST,Host Hotels & Resorts,Financials,REITs,"Bethesda, Maryland",,1070750
HCBK,Hudson City Bancorp,Financials,Banks,"Paramus, New Jersey",,921847
HUM,Humana Inc.,Health Care,Managed Health Care,"Louisville, Kentucky",,49071
HBAN,Huntington Bancshares,Financials,Banks,"Columbus, Ohio",,49196
ITW,Illinois Tool Works,Industrials,Industrial Machinery,"Glenview, Illinois",2/28/1986,49826
IR,Ingersoll-Rand PLC,Industrials,Industrial Conglomerates,"Dublin, Ireland",,1466258
TEG,Integrys Energy Group Inc.,Utilities,Gas Utilities,"Chicago, Illinois",,916863
INTC,Intel Corp.,Information Technology,Semiconductors,"Santa Clara, California",12/31/1976,50863
ICE,IntercontinentalExchange Inc.,Financials,Diversified Financial Services,"Atlanta, Georgia",,1571949
IBM,International Bus. Machines,Information Technology,IT Consulting & Services,"Armonk, New York",,51143
IP,International Paper,Materials,Paper Products,"Memphis, Tennessee",,51434
IPG,Interpublic Group,Consumer Discretionary,Advertising,"New York, New York",10/1/1992,51644
IFF,Intl Flavors & Fragrances,Materials,Specialty Chemicals,"New York, New York",3/31/1976,51253
INTU,Intuit Inc.,Information Technology,Internet Software & Services,"Mountain View, California",12/5/2000,896878
ISRG,Intuitive Surgical Inc.,Health Care,Health Care Equipment & Services,"Sunnyvale, California",,1035267
IVZ,Invesco Ltd.,Financials,Diversified Financial Services,"Atlanta, Georgia",,914208
IRM,Iron Mountain Incorporated,Industrials,Data Processing Services,"Boston, Massachusetts",,1020569
JEC,Jacobs Engineering Group,Industrials,Industrial Conglomerates,"Pasadena, California",,52988
JNJ,Johnson & Johnson,Health Care,Health Care Equipment & Services,"New Brunswick, New Jersey",6/30/1973,200406
JCI,Johnson Controls,Consumer Discretionary,Auto Parts & Equipment,"Milwaukee, Wisconsin",5/31/1986,53669
JOY,Joy Global Inc.,Industrials,Industrial Machinery,"Milwaukee, Wisconsin",,801898
JPM,JPMorgan Chase & Co.,Financials,Banks,"New York, New York",6/30/1975,19617
JNPR,Juniper Networks,Information Technology,Networking Equipment,"Sunnyvale, California",,1043604
KSU,Kansas City Southern,Industrials,Railroads,"Kansas City, Missouri",5/24/2013,54480
K,Kellogg Co.,Consumer Staples,Packaged Foods & Meats,"Battle Creek, Michigan",,55067
KEY,KeyCorp,Financials,Banks,"Cleveland, Ohio",3/1/1994,91576
GMCR,Keurig Green Mountain,Consumer Staples,Packaged Foods & Meats,"Waterbury, Vermont",,909954
KMB,Kimberly-Clark,Consumer Staples,Household Products,"Irving, Texas",,55785
KIM,Kimco Realty,Financials,REITs,"New Hyde Park, New York",,879101
KMI,Kinder Morgan,Energy,Oil & Gas Refining & Marketing & Transportation,"Houston, Texas",5/24/2012,1506307
KLAC,KLA-Tencor Corp.,Information Technology,Semiconductor Equipment,"Milpitas, California",,319201
KSS,Kohl's Corp.,Consumer Discretionary,General Merchandise Stores,"Menomonee Falls, Wisconsin",,885639
KRFT,Kraft Foods Group,Consumer Staples,Packaged Foods & Meats,"Northfield, Illinois",10/2/2012,1545158
KR,Kroger Co.,Consumer Staples,Food Retail,"Cincinnati, Ohio",,56873
LB,L Brands Inc.,Consumer Discretionary,Apparel Retail,"Columbus, Ohio",9/30/1983,701985
LLL,L-3 Communications Holdings,Industrials,Industrial Conglomerates,"New York, New York",,1056239
LH,Laboratory Corp. of America Holding,Health Care,Health Care Facilities,"Burlington, North Carolina",,920148
LRCX,Lam Research,Information Technology,Semiconductor Equipment,"Fremont, California",,707549
LM,Legg Mason,Financials,Diversified Financial Services,"Baltimore, Maryland",,704051
LEG,Leggett & Platt,Industrials,Industrial Conglomerates,"Carthage, Missouri",,58492
LEN,Lennar Corp.,Consumer Discretionary,Homebuilding,"Miami, Florida",,920760
LVLT,Level 3 Communications,Telecommunications Services,Alternative Carriers,"Broomfield, Colorado",11/5/2014,794323
LUK,Leucadia National Corp.,Financials,Multi-Sector Holdings,"New York, New York",,96223
LLY,Lilly (Eli) & Co.,Health Care,Pharmaceuticals,"Indianapolis, Indiana",12/31/1970,59478
LNC,Lincoln National,Financials,Multi-line Insurance,"Radnor, Pennsylvania",6/30/1976,59558
LLTC,Linear Technology Corp.,Information Technology,Semiconductors,"Milpitas, California",,791907
LMT,Lockheed Martin Corp.,Industrials,Aerospace & Defense,"Bethesda, Maryland",7/31/1984,936468
L,Loews Corp.,Financials,Multi-Sector Holdings,"New York, New York",,60086
LO,Lorillard Inc.,Consumer Staples,Tobacco,"Greensboro, North Carolina",,1424847
LOW,Lowe's Cos.,Consumer Discretionary,Home Improvement Retail,"Mooresville, North Carolina",2/29/1984,60667
LYB,LyondellBasell,Materials,Diversified Chemicals,"Rotterdam, Netherlands",9/5/2012,1489393
MTB,M&T Bank Corp.,Financials,Banks,"Buffalo, New York",,36270
MAC,Macerich,Financials,Retail REITs,"Santa Monica, California",5/9/2013,912242
M,Macy's Inc.,Consumer Discretionary,Department Stores,"Cincinnati, Ohio",,794367
MMM,3M Company,Industrials,Industrial Conglomerates,"St. Paul, Minnesota",,66740
MNK,Mallinckrodt plc,Health Care,Pharmaceuticals,"Dublin, Ireland",8/19/2014,1567892
MRO,Marathon Oil Corp.,Energy,Oil & Gas Exploration & Production,"Houston, Texas",5/1/1991,101778
MPC,Marathon Petroleum,Energy,Oil & Gas Refining & Marketing & Transportation,"Findlay, Ohio",,1510295
MAR,Marriott Int'l.,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Bethesda, Maryland",,1048286
MMC,Marsh & McLennan,Financials,Insurance Brokers,"New York, New York",8/31/1987,62709
MAS,Masco Corp.,Industrials,Building Products,"Taylor, Michigan",6/30/1981,62996
MA,Mastercard Inc.,Information Technology,Internet Software & Services,"Harrison, New York",,1141391
MAT,Mattel Inc.,Consumer Discretionary,Leisure Products,"El Segundo, California",3/31/1982,63276
MKC,McCormick & Co.,Consumer Staples,Packaged Foods & Meats,"Sparks, Maryland",,63754
MCD,McDonald's Corp.,Consumer Discretionary,Restaurants,"Oak Brook, Illinois",6/30/1970,63908
MHFI,McGraw Hill Financial,Financials,Diversified Financial Services,"New York, New York",,64040
MCK,McKesson Corp.,Health Care,Health Care Distributors & Services,"San Francisco, California",,927653
